cp,year,Deforestation,ruta,class,Nigth_light
NINA RUMI,2021,0,Zungarococha,old,1.2946841
LLANCHAMA,2015,4.3124554,Zungarococha,old,0.2881743
LLANCHAMA,2016,3.7224462,Zungarococha,old,0.3583766
LLANCHAMA,2017,2.9500436,Zungarococha,old,0.5095899
LLANCHAMA,2018,2.3495679,Zungarococha,old,0.5870931
LLANCHAMA,2019,1.6554449,Zungarococha,old,0.5091584
LLANCHAMA,2020,0.5917834,Zungarococha,old,0.5972493
LLANCHAMA,2021,0,Zungarococha,old,0.8277564
VILLA CRUZ,2015,6.8945654,Zungarococha,new,1.038764
VILLA CRUZ,2016,5.735225,Zungarococha,new,1.2424507
VILLA CRUZ,2017,4.3400484,Zungarococha,new,1.5187982
VILLA CRUZ,2018,3.2876179,Zungarococha,new,1.6786386
VILLA CRUZ,2019,2.3544255,Zungarococha,new,1.5376965
VILLA CRUZ,2020,1.0503479,Zungarococha,new,1.7188333
VILLA CRUZ,2021,0,Zungarococha,new,1.9348823
TARAPOTO,2015,3.1111769,Other,old,0.2997219
TARAPOTO,2016,2.5695366,Other,old,0.3602249
TARAPOTO,2017,1.9009157,Other,old,0.4779498
TARAPOTO,2018,1.4504975,Other,old,0.6663352
TARAPOTO,2019,0.9973981,Other,old,0.5652475
TARAPOTO,2020,0.3591606,Other,old,0.5760731
TARAPOTO,2021,0,Other,old,0.8752096
HUATURI,2015,6.4568763,Other,old,0.2606933
HUATURI,2016,5.4746288,Other,old,0.312857
HUATURI,2017,4.3182243,Other,old,0.4148136
HUATURI,2018,3.5003133,Other,old,0.7154763
HUATURI,2019,2.4266886,Other,old,0.5089307
HUATURI,2020,0.9105543,Other,old,0.5258874
HUATURI,2021,0,Other,old,0.9052439
SAN PABLO DE CUYANA,2015,5.2467873,Other,old,0.5671113
SAN PABLO DE CUYANA,2016,4.1889576,Other,old,0.6445772
SAN PABLO DE CUYANA,2017,3.1781521,Other,old,0.7290718
SAN PABLO DE CUYANA,2018,2.4812794,Other,old,1.0583668
SAN PABLO DE CUYANA,2019,1.7190712,Other,old,0.9866884
SAN PABLO DE CUYANA,2020,0.6225356,Other,old,0.8281164
SAN PABLO DE CUYANA,2021,0,Other,old,1.2881392
